序号,时间,黏度,水活性,NAS等级,温度
102,2023-3-23 16:04,45.69,0.229,7,41.47
103,2023-3-23 16:19,45.55,0.315,7,41.52
104,2023-3-23 16:34,45.12,0.36,7,48.99
105,2023-3-23 16:49,46.2,0.319,7,42.38
106,2023-3-23 17:04,45.5,0.4,7,43.67
107,2023-3-23 17:19,45.94,0.261,7,49.23
108,2023-3-23 17:34,45.38,0.386,6,42.93
109,2023-3-23 17:49,45.55,0.36,6,47.11
110,2023-3-23 18:04,46.19,0.246,7,49.38
111,2023-3-23 18:19,45.11,0.233,7,44.91
112,2023-3-23 18:34,45.55,0.335,7,42.13
113,2023-3-23 18:49,45.62,0.334,6,42.26
114,2023-3-23 19:04,45.18,0.216,6,46.18
115,2023-3-23 19:19,45.87,0.318,6,45.1
116,2023-3-23 19:34,46.01,0.256,6,45.12
117,2023-3-23 19:49,45.7,0.225,7,46.59
118,2023-3-23 20:04,46.02,0.376,7,46.72
119,2023-3-23 20:19,45.77,0.288,7,42.78
120,2023-3-23 20:34,45.23,0.291,7,47.5
121,2023-3-23 20:49,46.14,0.331,7,46.13
122,2023-3-23 21:04,46.15,0.369,6,46.95
123,2023-3-23 21:19,45.35,0.372,7,41.13
124,2023-3-23 21:34,45.33,0.242,6,50.22
125,2023-3-23 21:49,46.11,0.347,7,50.46
126,2023-3-23 22:04,46.1,0.326,7,42.12
127,2023-3-23 22:19,45.39,0.272,7,46.78
128,2023-3-23 22:34,45.54,0.248,6,44.63
129,2023-3-23 22:49,45.46,0.227,6,47.29
130,2023-3-23 23:04,45.19,0.281,7,46.13
131,2023-3-23 23:19,45.14,0.33,6,43.26
132,2023-3-23 23:34,45.52,0.3,7,48.87
133,2023-3-23 23:49,45.47,0.223,6,47.36
134,2023-3-24 0:04,46,0.326,6,42.07
135,2023-3-24 0:19,45.31,0.377,6,41.04
136,2023-3-24 0:34,45.78,0.357,7,44.3
137,2023-3-24 0:49,45.64,0.399,6,44.53
138,2023-3-24 1:04,45.48,0.335,6,46.91
139,2023-3-24 1:19,45.65,0.279,7,48.73
140,2023-3-24 1:34,45.95,0.253,6,49.85
141,2023-3-24 1:49,45.77,0.216,6,50.65
142,2023-3-24 2:04,45.95,0.348,7,45.22
143,2023-3-24 2:19,46.06,0.353,7,43.85
144,2023-3-24 2:34,45.64,0.25,7,45.58
145,2023-3-24 2:49,45.49,0.35,6,49.16
146,2023-3-24 3:04,45.9,0.382,6,45.74
147,2023-3-24 3:19,45.77,0.284,7,45.96
148,2023-3-24 3:34,45.11,0.269,7,50
149,2023-3-24 3:49,45.11,0.318,6,48.17
150,2023-3-24 4:04,46.04,0.272,7,47.05
151,2023-3-24 4:19,45.77,0.359,7,49.07
152,2023-3-24 4:34,46.09,0.222,6,42.66
153,2023-3-24 4:49,45.36,0.255,7,49.15
154,2023-3-24 5:04,45.83,0.317,6,44.62
155,2023-3-24 5:19,45.83,0.251,6,45.01
156,2023-3-24 5:34,45.31,0.269,7,41.27
157,2023-3-24 5:49,45.72,0.24,6,44.37
158,2023-3-24 6:04,45.34,0.371,7,44.07
159,2023-3-24 6:19,46,0.293,6,50.4
160,2023-3-24 6:34,45.53,0.274,7,48
161,2023-3-24 6:49,45.81,0.316,6,49.96
162,2023-3-24 7:04,45.92,0.327,6,43.92
163,2023-3-24 7:19,45.59,0.37,6,44.64
164,2023-3-24 7:34,45.85,0.355,6,48.06
165,2023-3-24 7:49,45.18,0.263,7,46
166,2023-3-24 8:04,45.36,0.247,6,42.08
167,2023-3-24 8:19,45.91,0.28,7,43.95
168,2023-3-24 8:34,45.84,0.377,6,48.36
169,2023-3-24 8:49,45.43,0.309,6,44.22
170,2023-3-24 9:04,45.13,0.253,6,47.6
171,2023-3-24 9:19,46.08,0.32,6,46.95
172,2023-3-24 9:34,46.18,0.253,7,50.05
173,2023-3-24 9:49,46.15,0.264,7,46.17
174,2023-3-24 10:04,45.84,0.245,6,44.32
175,2023-3-24 10:19,46.07,0.362,6,47.42
176,2023-3-24 10:34,45.54,0.251,7,44.99
177,2023-3-24 10:49,45.4,0.22,6,45.32
178,2023-3-24 11:04,45.69,0.391,6,49.72
179,2023-3-24 11:19,45.38,0.229,6,46.7
180,2023-3-24 11:34,45.45,0.388,7,47.89
181,2023-3-24 11:49,45.22,0.296,7,44.18
182,2023-3-24 12:04,45.37,0.329,6,48.59
183,2023-3-24 12:19,45.21,0.352,7,49.53
184,2023-3-24 12:34,45.22,0.31,6,45.95
185,2023-3-24 12:49,45.35,0.289,6,41.36
186,2023-3-24 13:04,45.77,0.322,6,47.38
187,2023-3-24 13:19,45.25,0.318,7,43.61
188,2023-3-24 13:34,45.43,0.213,6,43.77
189,2023-3-24 13:49,45.22,0.29,7,50.02
190,2023-3-24 14:04,45.83,0.213,6,45.43
191,2023-3-24 14:19,45.64,0.377,7,49.66
192,2023-3-24 14:34,45.56,0.225,7,42.2
193,2023-3-24 14:49,45.82,0.38,6,48.59
194,2023-3-24 15:04,45.23,0.345,6,41.23
195,2023-3-24 15:19,45.97,0.236,7,45.05
196,2023-3-24 15:34,45.53,0.315,7,50.18
197,2023-3-24 15:49,45.27,0.351,6,41.08
198,2023-3-24 16:04,45.23,0.307,7,46.24
199,2023-3-24 16:19,45.58,0.362,7,46.82
200,2023-3-24 16:34,45.21,0.342,7,45.34
201,2023-3-24 16:49,45.21,0.223,6,49.79
202,2023-3-24 17:04,46.06,0.277,7,44.94
203,2023-3-24 17:19,46.09,0.258,6,42.17
204,2023-3-24 17:34,46.09,0.334,7,42.31
205,2023-3-24 17:49,46.03,0.245,6,47.88
206,2023-3-24 18:04,46.09,0.298,6,41.11
207,2023-3-24 18:19,45.96,0.251,7,50.78
208,2023-3-24 18:34,45.5,0.308,7,48.37
209,2023-3-24 18:49,45.64,0.312,7,47.79
210,2023-3-24 19:04,45.17,0.38,7,41.1
211,2023-3-24 19:19,45.3,0.286,6,46.38
212,2023-3-24 19:34,45.19,0.358,6,46.59
213,2023-3-24 19:49,45.71,0.311,6,45.97
214,2023-3-24 20:04,45.93,0.282,7,50.36
215,2023-3-24 20:19,45.54,0.382,6,47.41
216,2023-3-24 20:34,46.13,0.37,7,42.42
217,2023-3-24 20:49,46.08,0.383,6,42.26
218,2023-3-24 21:04,45.83,0.23,7,41.59
219,2023-3-24 21:19,45.56,0.265,6,47.32
220,2023-3-24 21:34,46,0.398,7,43.4
221,2023-3-24 21:49,45.73,0.313,7,47.12
222,2023-3-24 22:04,45.3,0.216,7,45.1
223,2023-3-24 22:19,46.14,0.339,6,45.5
224,2023-3-24 22:34,45.91,0.311,7,43
225,2023-3-24 22:49,46.13,0.262,7,46.17
226,2023-3-24 23:04,45.64,0.245,6,50.67
227,2023-3-24 23:19,45.97,0.335,7,43.08
228,2023-3-24 23:34,45.24,0.284,7,41.14
229,2023-3-24 23:49,45.4,0.295,6,44.98
230,2023-3-25 0:04,45.49,0.399,6,42.42
231,2023-3-25 0:19,45.95,0.26,6,42.46
232,2023-3-25 0:34,45.2,0.25,7,42.84
233,2023-3-25 0:49,45.11,0.298,6,43.83
234,2023-3-25 1:04,46.14,0.311,6,46.4
235,2023-3-25 1:19,46.21,0.211,7,43.49
236,2023-3-25 1:34,45.32,0.386,6,44.85
237,2023-3-25 1:49,45.49,0.284,6,46.68
238,2023-3-25 2:04,45.17,0.331,6,50.16
239,2023-3-25 2:19,45.86,0.325,6,48.43
240,2023-3-25 2:34,46.18,0.222,6,44.54
241,2023-3-25 2:49,45.1,0.259,6,47.26
242,2023-3-25 3:04,45.54,0.218,7,41.39
243,2023-3-25 3:19,45.69,0.281,6,42.15
244,2023-3-25 3:34,45.55,0.257,6,44.06
245,2023-3-25 3:49,45.88,0.28,6,48.86
246,2023-3-25 4:04,45.76,0.318,7,49.68
247,2023-3-25 4:19,46.18,0.386,7,44.8
248,2023-3-25 4:34,45.32,0.363,7,50.53
249,2023-3-25 4:49,45.98,0.275,7,47.24
250,2023-3-25 5:04,45.57,0.37,6,44.95
251,2023-3-25 5:19,45.26,0.282,6,43.19
252,2023-3-25 5:34,45.15,0.359,6,48.35
253,2023-3-25 5:49,45.18,0.332,6,48.3
254,2023-3-25 6:04,46.13,0.357,7,47.38
255,2023-3-25 6:19,45.77,0.32,7,48.08
256,2023-3-25 6:34,45.95,0.256,6,48.88
257,2023-3-25 6:49,45.85,0.264,6,43.34
258,2023-3-25 7:04,45.86,0.257,6,45.57
259,2023-3-25 7:19,45.77,0.238,6,48.28
260,2023-3-25 7:34,45.55,0.357,6,50.15
261,2023-3-25 7:49,45.37,0.277,6,44.24
262,2023-3-25 8:04,45.51,0.328,7,42.47
263,2023-3-25 8:19,45.93,0.381,7,47.34
264,2023-3-25 8:34,45.56,0.244,7,43.53
265,2023-3-25 8:49,45.45,0.23,6,42.78
266,2023-3-25 9:04,46.04,0.347,7,50.75
267,2023-3-25 9:19,45.71,0.339,7,42.07
268,2023-3-25 9:34,45.64,0.342,6,42.36
269,2023-3-25 9:49,45.63,0.323,7,48.25
270,2023-3-25 10:04,45.46,0.235,6,48.44
271,2023-3-25 10:19,45.89,0.212,6,42.81
272,2023-3-25 10:34,46.01,0.218,6,45.32
273,2023-3-25 10:49,45.6,0.4,6,46.65
274,2023-3-25 11:04,45.76,0.214,6,46.02
275,2023-3-25 11:19,45.66,0.237,6,41.27
276,2023-3-25 11:34,45.19,0.256,6,41.95
277,2023-3-25 11:49,45.29,0.361,6,48.57
278,2023-3-25 12:04,45.97,0.367,6,44.67
279,2023-3-25 12:19,46.05,0.264,6,43.25
280,2023-3-25 12:34,45.5,0.374,6,50.22
281,2023-3-25 12:49,45.86,0.377,6,45.52
282,2023-3-25 13:04,46.16,0.378,6,48.74
283,2023-3-25 13:19,45.5,0.255,7,42.04
284,2023-3-25 13:34,46.06,0.392,7,41.08
285,2023-3-25 13:49,45.59,0.384,6,47.74
286,2023-3-25 14:04,45.71,0.313,7,44.86
287,2023-3-25 14:19,45.28,0.268,7,49.95
288,2023-3-25 14:34,45.36,0.258,7,44.01
289,2023-3-25 14:49,45.66,0.318,7,41.27
290,2023-3-25 15:04,46.01,0.212,7,46.79
291,2023-3-25 15:19,45.99,0.314,6,42.4
292,2023-3-25 15:34,45.54,0.243,7,41.29
293,2023-3-25 15:49,45.88,0.348,6,44.81
294,2023-3-25 16:04,46.06,0.237,6,42.14
295,2023-3-25 16:19,45.84,0.254,7,41.17
296,2023-3-25 16:34,45.42,0.285,6,50.42
297,2023-3-25 16:49,45.25,0.354,7,48.29
298,2023-3-25 17:04,45.95,0.228,6,48.07
299,2023-3-25 17:19,45.42,0.258,7,49.9
300,2023-3-25 17:34,46.04,0.387,6,47.94
301,2023-3-25 17:49,45.22,0.29,7,49.64
302,2023-3-25 18:04,45.61,0.218,6,45.42
303,2023-3-25 18:19,45.58,0.31,7,43.12
304,2023-3-25 18:34,45.99,0.323,7,41
305,2023-3-25 18:49,45.76,0.368,6,45.21
306,2023-3-25 19:04,45.48,0.344,7,41.67
307,2023-3-25 19:19,45.29,0.236,6,41.41
308,2023-3-25 19:34,46.04,0.341,6,47.69
309,2023-3-25 19:49,45.87,0.322,7,41.26
310,2023-3-25 20:04,45.2,0.357,6,41.46
311,2023-3-25 20:19,45.86,0.271,6,48.37
312,2023-3-25 20:34,45.67,0.308,6,42.47
313,2023-3-25 20:49,45.51,0.259,7,41.02
314,2023-3-25 21:04,46.1,0.294,6,46.06
315,2023-3-25 21:19,46.13,0.309,7,49.56
316,2023-3-25 21:34,45.25,0.244,7,44.36
317,2023-3-25 21:49,45.14,0.239,7,43.86
318,2023-3-25 22:04,45.9,0.23,6,44.93
319,2023-3-25 22:19,46.02,0.348,7,42.73
320,2023-3-25 22:34,45.26,0.291,6,41.03
321,2023-3-25 22:49,46.03,0.283,6,49.76
322,2023-3-25 23:04,45.41,0.305,6,49.25
323,2023-3-25 23:19,45.31,0.283,6,48.09
324,2023-3-25 23:34,45.93,0.251,7,49.49
325,2023-3-25 23:49,45.65,0.355,6,46.55
326,2023-3-26 0:04,45.73,0.373,7,42.83
327,2023-3-26 0:19,45.44,0.225,8,45.55
328,2023-3-26 0:34,45.38,0.38,6,41.7
329,2023-3-26 0:49,46.16,0.245,7,44.08
330,2023-3-26 1:04,45.52,0.346,6,43.39
331,2023-3-26 1:19,46.18,0.21,6,43.82
332,2023-3-26 1:34,45.84,0.249,6,45.99
333,2023-3-26 1:49,45.29,0.258,6,41.12
334,2023-3-26 2:04,45.22,0.286,7,46.75
335,2023-3-26 2:19,45.73,0.234,7,41.3
336,2023-3-26 2:34,45.24,0.252,7,48.03
337,2023-3-26 2:49,46.16,0.332,6,47.21
338,2023-3-26 3:04,45.97,0.326,6,42.62
339,2023-3-26 3:19,45.37,0.313,6,42.52
340,2023-3-26 3:34,45.8,0.251,7,42.4
341,2023-3-26 3:49,45.98,0.265,7,45.44
342,2023-3-26 4:04,45.52,0.226,6,43.62
343,2023-3-26 4:19,45.96,0.312,7,41.45
344,2023-3-26 4:34,45.49,0.295,7,42.06
345,2023-3-26 4:49,45.39,0.315,6,41.09
346,2023-3-26 5:04,45.57,0.249,6,46.7
347,2023-3-26 5:19,46.01,0.27,7,44.69
348,2023-3-26 5:34,46.18,0.308,7,46.87
349,2023-3-26 5:49,45.17,0.223,7,46.46
350,2023-3-26 6:04,45.53,0.322,6,45.62
351,2023-3-26 6:19,46.08,0.282,7,45.22
352,2023-3-26 6:34,46.2,0.274,6,46.84
353,2023-3-26 6:49,45.18,0.317,7,44.16
354,2023-3-26 7:04,46.08,0.354,7,49.2
355,2023-3-26 7:19,45.87,0.248,7,42.53
356,2023-3-26 7:34,45.51,0.363,6,43.29
357,2023-3-26 7:49,45.99,0.314,6,48.38
358,2023-3-26 8:04,46.08,0.303,6,41.58
359,2023-3-26 8:19,45.33,0.247,6,45.11
360,2023-3-26 8:34,45.39,0.347,6,46.45
361,2023-3-26 8:49,45.78,0.382,7,45.57
362,2023-3-26 9:04,45.93,0.326,6,43.2
363,2023-3-26 9:19,46.13,0.251,6,41.24
364,2023-3-26 9:34,45.77,0.321,7,44.34
365,2023-3-26 9:49,45.72,0.345,6,43.36
366,2023-3-26 10:04,46.13,0.4,7,44.82
367,2023-3-26 10:19,46.02,0.248,7,45.18
368,2023-3-26 10:34,45.66,0.25,6,46.67
369,2023-3-26 10:49,45.44,0.29,7,46.02
370,2023-3-26 11:04,45.82,0.211,7,43.03
371,2023-3-26 11:19,45.14,0.26,6,50.99
372,2023-3-26 11:34,45.61,0.257,6,48.19
373,2023-3-26 11:49,45.54,0.396,6,46.61
374,2023-3-26 12:04,45.55,0.221,6,45.7
375,2023-3-26 12:19,45.11,0.227,7,46.33
376,2023-3-26 12:34,45.45,0.372,6,47.37
377,2023-3-26 12:49,46.05,0.304,7,46.52
378,2023-3-26 13:04,45.82,0.257,7,43.89
379,2023-3-26 13:19,45.93,0.33,6,41.66
380,2023-3-26 13:34,45.84,0.228,7,42.76
381,2023-3-26 13:49,45.61,0.247,6,48.2
382,2023-3-26 14:04,45.82,0.342,6,49.63
383,2023-3-26 14:19,46.11,0.217,6,45.64
384,2023-3-26 14:34,45.45,0.213,7,50.68
385,2023-3-26 14:49,45.3,0.213,6,43.16
386,2023-3-26 15:04,45.92,0.295,7,48.85
387,2023-3-26 15:19,45.67,0.234,6,43.93
388,2023-3-26 15:34,45.45,0.275,6,48.53
389,2023-3-26 15:49,45.77,0.25,7,44.21
390,2023-3-26 16:04,45.24,0.226,6,45.84
391,2023-3-26 16:19,46.03,0.304,6,45.52
392,2023-3-26 16:34,45.76,0.266,7,41.81
393,2023-3-26 16:49,45.26,0.243,6,44.56
394,2023-3-26 17:04,45.15,0.389,7,47.07
395,2023-3-26 17:19,45.29,0.222,6,49.32
396,2023-3-26 17:34,45.54,0.355,7,43.15
397,2023-3-26 17:49,46.21,0.295,7,42.85
398,2023-3-26 18:04,45.95,0.31,7,44.3
399,2023-3-26 18:19,45.4,0.383,7,48.56
400,2023-3-26 18:34,45.8,0.323,7,47.32
401,2023-3-26 18:49,45.83,0.374,7,49.73
402,2023-3-26 19:04,46.01,0.381,6,50.32
403,2023-3-26 19:19,45.77,0.385,6,46.32
404,2023-3-26 19:34,45.52,0.362,6,45.54
405,2023-3-26 19:49,45.47,0.245,7,43.28
406,2023-3-26 20:04,46.05,0.294,6,49.03
407,2023-3-26 20:19,45.68,0.25,7,45.66
408,2023-3-26 20:34,45.36,0.375,6,44.3
409,2023-3-26 20:49,45.55,0.32,7,50.33
410,2023-3-26 21:04,45.21,0.287,7,42.12
411,2023-3-26 21:19,46.02,0.235,7,43.24
412,2023-3-26 21:34,45.99,0.342,6,45.27
413,2023-3-26 21:49,45.56,0.295,6,44.47
414,2023-3-26 22:04,45.56,0.37,7,47.66
415,2023-3-26 22:19,45.65,0.293,6,45.87
416,2023-3-26 22:34,45.2,0.32,7,42.94
417,2023-3-26 22:49,45.46,0.364,6,45.62
418,2023-3-26 23:04,45.6,0.396,6,48.54
419,2023-3-26 23:19,45.88,0.25,6,46.8
420,2023-3-26 23:34,46.04,0.389,6,50.76
421,2023-3-26 23:49,45.37,0.345,7,50.96
422,2023-3-27 0:04,45.8,0.345,6,44.23
423,2023-3-27 0:19,45.74,0.306,6,44.87
424,2023-3-27 0:34,45.35,0.214,7,44.89
425,2023-3-27 0:49,45.89,0.293,7,42.08
426,2023-3-27 1:04,46.06,0.238,7,43.9
427,2023-3-27 1:19,45.43,0.347,6,48.79
428,2023-3-27 1:34,45.25,0.212,7,47.53
429,2023-3-27 1:49,45.39,0.366,7,44.74
430,2023-3-27 2:04,45.43,0.386,6,47.22
431,2023-3-27 2:19,45.74,0.348,6,44.01
432,2023-3-27 2:34,45.36,0.36,6,41.49
433,2023-3-27 2:49,45.47,0.245,7,42.18
434,2023-3-27 3:04,45.43,0.311,7,47.87
435,2023-3-27 3:19,45.46,0.218,6,43.15
436,2023-3-27 3:34,45.74,0.371,7,48.52
437,2023-3-27 3:49,45.44,0.212,6,42.4
438,2023-3-27 4:04,45.99,0.258,7,42.13
439,2023-3-27 4:19,45.97,0.34,6,42.56
440,2023-3-27 4:34,45.8,0.27,6,45.31
441,2023-3-27 4:49,45.86,0.389,7,42.17
442,2023-3-27 5:04,46.09,0.377,6,43.44
443,2023-3-27 5:19,45.41,0.396,6,43.94
444,2023-3-27 5:34,46.04,0.376,7,50.21
445,2023-3-27 5:49,45.43,0.214,7,49.84
446,2023-3-27 6:04,45.6,0.211,7,47.44
447,2023-3-27 6:19,45.78,0.305,6,44.4
448,2023-3-27 6:34,45.73,0.271,7,49.12
449,2023-3-27 6:49,45.9,0.371,6,45.16
450,2023-3-27 7:04,45.5,0.324,6,41.96
451,2023-3-27 7:19,45.56,0.229,7,49.17
452,2023-3-27 7:34,45.38,0.301,6,50.6
453,2023-3-27 7:49,45.91,0.365,6,48.35
454,2023-3-27 8:04,45.52,0.309,7,50.09
455,2023-3-27 8:19,45.48,0.301,6,43.65
456,2023-3-27 8:34,45.8,0.26,6,41.85
457,2023-3-27 8:49,45.48,0.394,6,42.4
458,2023-3-27 9:04,45.91,0.297,6,41.36
459,2023-3-27 9:19,45.94,0.259,7,43.37
460,2023-3-27 9:34,45.4,0.259,7,43.1
461,2023-3-27 9:49,46.01,0.28,6,47.32
462,2023-3-27 10:04,45.25,0.255,6,49.14
463,2023-3-27 10:19,46.06,0.348,6,46.27
464,2023-3-27 10:34,45.18,0.398,7,46.86
465,2023-3-27 10:49,45.28,0.346,6,49.75
466,2023-3-27 11:04,45.27,0.259,6,48.33
467,2023-3-27 11:19,45.69,0.351,7,41.21
468,2023-3-27 11:34,45.34,0.264,6,50.42
469,2023-3-27 11:49,46.08,0.23,7,46.29
470,2023-3-27 12:04,46.19,0.362,6,49.71
471,2023-3-27 12:19,45.3,0.23,7,44.26
472,2023-3-27 12:34,45.93,0.38,6,49.35
473,2023-3-27 12:49,45.82,0.269,7,42.41
474,2023-3-27 13:04,45.69,0.274,6,48.62
475,2023-3-27 13:19,45.91,0.256,6,46.74
476,2023-3-27 13:34,45.69,0.286,6,45.39
477,2023-3-27 13:49,45.37,0.343,7,47.74
478,2023-3-27 14:04,45.8,0.296,7,44.97
479,2023-3-27 14:19,46.14,0.214,6,42.96
480,2023-3-27 14:34,46.11,0.278,6,45.78
481,2023-3-27 14:49,46.06,0.354,7,50.57
482,2023-3-27 15:04,45.31,0.381,7,48.21
483,2023-3-27 15:19,46.18,0.211,7,44.2
484,2023-3-27 15:34,46.04,0.34,7,45.15
485,2023-3-27 15:49,45.77,0.335,7,46.21
486,2023-3-27 16:04,45.47,0.261,6,48.61
487,2023-3-27 16:19,45.84,0.382,6,43.09
488,2023-3-27 16:34,45.24,0.296,7,45.87
489,2023-3-27 16:49,45.87,0.329,7,46.13
490,2023-3-27 17:04,46.21,0.338,6,50.58
491,2023-3-27 17:19,45.28,0.354,6,41.58
492,2023-3-27 17:34,45.46,0.373,7,42.99
493,2023-3-27 17:49,45.97,0.263,6,47.94
494,2023-3-27 18:04,45.45,0.289,6,42.53
495,2023-3-27 18:19,45.43,0.228,6,45.88
496,2023-3-27 18:34,45.25,0.378,6,48.13
497,2023-3-27 18:49,46.09,0.369,7,43.63
498,2023-3-27 19:04,45.81,0.38,6,48.11
499,2023-3-27 19:19,45.74,0.283,6,47.57
500,2023-3-27 19:34,45.91,0.336,6,44.38
501,2023-3-27 19:49,45.79,0.395,6,48.64
502,2023-3-27 20:04,45.12,0.241,7,43.53
503,2023-3-27 20:19,45.56,0.356,7,49.44
504,2023-3-27 20:34,46.07,0.31,7,50.73
505,2023-3-27 20:49,45.16,0.233,6,46.01
506,2023-3-27 21:04,45.45,0.344,6,50.15
507,2023-3-27 21:19,45.79,0.271,6,45.14
508,2023-3-27 21:34,45.93,0.314,6,43.75
509,2023-3-27 21:49,46.04,0.335,6,45.34
510,2023-3-27 22:04,45.67,0.263,6,48.5
511,2023-3-27 22:19,45.12,0.222,6,50.12
512,2023-3-27 22:34,46.09,0.301,6,42.27
513,2023-3-27 22:49,45.28,0.305,7,50.26
514,2023-3-27 23:04,45.49,0.285,6,46.25
515,2023-3-27 23:19,45.47,0.264,6,47.46
516,2023-3-27 23:34,45.79,0.352,6,50.34
